number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_data_in_leaf,params_num_leaves,state
0,0.5015265369472149,2025-10-15 13:12:23.440100,2025-10-15 13:12:27.154703,0 days 00:00:03.714603,0.5624074561769746,0.7394633936788146,0.7799726016810132,0.2904180608409973,0.04370861069626263,152,77,COMPLETE
1,0.5012359253170929,2025-10-15 13:12:27.156013,2025-10-15 13:12:31.299615,0 days 00:00:04.143602,0.8879639408647977,0.508233797718321,4.162213204002109,1.0616955533913808,0.08795585311974417,148,54,COMPLETE
2,0.5013142816280387,2025-10-15 13:12:31.301119,2025-10-15 13:12:34.359785,0 days 00:00:03.058666,0.6727780074568463,0.7099025726528951,1.4561457009902097,3.0592644736118975,0.02636424704863906,75,27,COMPLETE
3,0.5026171168454688,2025-10-15 13:12:34.360827,2025-10-15 13:12:37.962585,0 days 00:00:03.601758,0.8140703845572055,0.6824279936868144,0.9983689107917987,2.571172192068058,0.022554447458683766,86,34,COMPLETE
4,0.5003370259359345,2025-10-15 13:12:37.963599,2025-10-15 13:12:40.222429,0 days 00:00:02.258830,0.5260206371941119,0.5682096494749166,4.7444276862666666,4.828160165372797,0.06331731119758383,129,18,COMPLETE
5,0.4996580710453107,2025-10-15 13:12:40.223422,2025-10-15 13:12:43.926592,0 days 00:00:03.703170,0.6760609974958405,0.7736932106048628,0.6101911742238941,2.475884550556351,0.0827557613304815,37,35,COMPLETE
6,0.5015377673830608,2025-10-15 13:12:43.927868,2025-10-15 13:12:49.415613,0 days 00:00:05.487745,0.6246844304357644,0.7650089137415927,2.600340105889054,2.7335513967163982,0.013094966900369657,66,75,COMPLETE
7,0.5019127804222909,2025-10-15 13:12:49.416663,2025-10-15 13:12:53.959113,0 days 00:00:04.542450,0.8579309401710595,0.8757995766256756,2.9894998940554256,4.609371175115584,0.026636900997297437,160,78,COMPLETE
