run_date_jst,market_date,status,realized_pnl,unrealized_pnl,equity,capital,num_positions,positions,buys,sells,daily_return_pct,error
2025-10-11,2025-10-03,backfill,0.0,868.6245661880594,328711.68308904284,327843.05852285476,13,PSX:5/0:140307;META:5/4:53333;TSLA:5/4:53333;CRWD:5/3:42666;ADBE:5/3:42666;OXY:5/3:42666;F:5/1:61470;PLTR:5/2:34150;DHR:5/2:34150;BLK:5/1:27320;LMT:5/1:27320;MA:5/0:20307;XOM:5/0:20307,MA:hold=5:price=579.35:amt=20307:src=next_open(2025-10-06);PSX:combined:hold=5:price=132.92:amt=140307:src=next_open(2025-10-06);XOM:hold=5:price=113.31:amt=20307:src=next_open(2025-10-06),,0.98146899055227,
2025-10-11,2025-10-04,backfill,-1920.8083099705689,3564.0020020455395,329486.25221492973,325922.2502128842,11,PSX:5/1:140307;CRWD:5/4:42666;ADBE:5/4:42666;OXY:5/4:42666;F:5/2:61470;PLTR:5/3:34150;DHR:5/3:34150;BLK:5/2:27320;LMT:5/2:27320;MA:5/1:20307;XOM:5/1:20307,,META:profit=-1005:src=next_open(2025-10-06);TSLA:profit=-916:src=next_open(2025-10-06),0.23563784487607986,
2025-10-11,2025-10-05,backfill,-576.5181718253239,4639.7919599605775,329985.5240010195,325345.7320410589,8,PSX:5/2:140307;F:5/3:61470;PLTR:5/4:34150;DHR:5/4:34150;BLK:5/3:27320;LMT:5/3:27320;MA:5/2:20307;XOM:5/2:20307,,CRWD:profit=+264:src=next_open(2025-10-06);ADBE:profit=-434:src=next_open(2025-10-06);OXY:profit=-407:src=next_open(2025-10-06),0.15153038487447645,
2025-10-11,2025-10-06,backfill,579.3992736241644,6281.8720495989155,332207.00336428196,325925.13131468307,8,PSX:5/0:162035;F:5/4:61470;BLK:5/4:27320;LMT:5/4:27320;MA:5/3:20307;XOM:5/3:20307;META:5/0:21728;TSLA:5/0:21728,META:hold=5:price=717.86:amt=21728:src=next_open(2025-10-07);PSX:combined:hold=5:price=132.88:amt=162035:src=next_open(2025-10-07);TSLA:hold=5:price=447.91:amt=21728:src=next_open(2025-10-07),PLTR:profit=-656:src=next_open(2025-10-07);DHR:profit=+1235:src=next_open(2025-10-07),0.6732050958864644,
2025-10-11,2025-10-07,backfill,1841.266714934944,-1758.5930353902256,326007.8049942278,327766.398029618,8,PSX:5/1:162035;MA:5/4:20307;XOM:5/4:20307;META:5/1:21728;TSLA:5/1:21728;CRWD:5/0:21851;ADBE:5/0:21851;OXY:5/0:21851,CRWD:hold=5:price=491.87:amt=21851:src=next_open(2025-10-08);ADBE:hold=5:price=350.07:amt=21851:src=next_open(2025-10-08);OXY:hold=5:price=45.38:amt=21851:src=next_open(2025-10-08),F:profit=+1598:src=next_open(2025-10-08);BLK:profit=-63:src=next_open(2025-10-08);LMT:profit=+306:src=next_open(2025-10-08),-1.866064925565858,
2025-10-11,2025-10-08,backfill,77.60772040410151,-1838.4188779692843,326005.58687205287,327844.00575002213,9,PSX:5/2:162035;META:5/2:21728;TSLA:5/2:21728;CRWD:5/1:21851;ADBE:5/1:21851;OXY:5/1:21851;F:5/0:21856;PLTR:5/0:21856;DHR:5/0:21856,F:hold=5:price=11.75:amt=21856:src=next_open(2025-10-09);PLTR:hold=5:price=183.62:amt=21856:src=next_open(2025-10-09);DHR:hold=5:price=204.85:amt=21856:src=next_open(2025-10-09),MA:profit=-98:src=next_open(2025-10-09);XOM:profit=+176:src=next_open(2025-10-09),-0.0006803892854456706,
2025-10-11,2025-10-09,backfill,0.0,-2659.3158281381425,325184.689921884,327844.00575002213,11,PSX:5/3:162035;META:5/3:21728;TSLA:5/3:21728;CRWD:5/2:21851;ADBE:5/2:21851;OXY:5/2:21851;F:5/0:43712;PLTR:5/1:21856;DHR:5/1:21856;BLK:5/0:21856;LMT:5/0:21856,BLK:hold=5:price=1172.73:amt=21856:src=next_open(2025-10-10);LMT:hold=5:price=508.93:amt=21856:src=next_open(2025-10-10);F:combined:hold=5:price=11.65:amt=43712:src=next_open(2025-10-10),,-0.2518045650828249,
